SNR_dB,Exact_OP,Simulation_OP,Lower_Bound_OP,Upper_Bound_OP,Relative_Gap,Intervals,Outage_Count
0,0.9999999999999997,1.0,0.9999999999999997,1.0,3.3306690738754706e-16,1,1000000
2,0.9999999999999997,1.0,0.9999999999999997,1.0,3.3306690738754706e-16,1,1000000
4,0.9999999999999997,1.0,0.9999999999999997,1.0,3.3306690738754706e-16,1,1000000
6,0.9999999999999967,1.0,0.9999999998253897,1.0,1.746103262131659e-10,1,1000000
8,0.9999999982641166,1.0,0.9999963543544094,1.0,3.645652236011073e-06,1,1000000
10,0.9999913687566622,0.999988,0.9998888057859854,0.9999994335906839,0.00011063398696017642,2,999988
12,0.9980122436354625,0.997962,0.9974815793688226,0.9984063389877158,0.0009266648797139122,12,997962
14,0.9427815892460021,0.94316,0.9423069908239159,0.9432495367187548,0.000999753527482147,189,943160
16,0.6316710316001704,0.632327,0.6313547804141689,0.631986398993093,0.0009999176615462894,999,632327
18,0.19592634308871926,0.195668,0.1958284217960476,0.19602431035513174,0.000999807034692667,2597,195668
20,0.023682664587000427,0.023488,0.023670827944517074,0.02369451039291913,0.0009999906781342552,4752,23488
22,0.0012137293459834426,0.001247,0.0012128259950910894,0.001214634038701072,0.001489658807818264,5000,1247
24,3.1380723548881245e-05,3.1e-05,3.1348393677771696e-05,3.1413125900434574e-05,0.002062799724988064,5000,31
26,4.857712911762401e-07,0.0,4.8512721812908e-07,4.864172627483754e-07,0.0026556573470116465,5000,0
28,5.1788372662473615e-09,0.0,5.170242314289197e-09,5.1874613331785e-09,0.0033248718973558295,5000,0
30,4.22799601384229e-11,0.0,4.219235502363008e-11,4.2367907832074186e-11,0.004152134880272804,5000,0
